task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
40,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.995703522791324,49.079232561915475,0.061085084413157346,0.550121957100831,0.4790799979566661,0,0.061085084413157346,0.0,1.128907241821289,0.7902350692749023,,,0,0.155,0.0,0,terminal,0,0,0.0,0.8,0.7334202603388563,0.845,1.0,0.6197401199863336,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
41,Fuzzy-DQL,0,terminal,0,0,0.3,0,1,0,36.557872119620555,66.35616781008898,0.06104319710051896,0.5439262299965106,0.4866750592919294,0,0.06104319710051896,0.0,2.015165338516235,1.4106157369613646,,,0,0.155,9.599727808344744,0,terminal,0,0,0.0,0.8,0.5509340476720869,0.845,1.0,0.46553927028291336,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
42,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.00790819042483,64.45010952593778,0.06028461747735099,0.5462865069886327,0.48101550011189126,0,0.06028461747735099,0.0,1.3547585391998291,0.9483309774398804,,,0,0.155,18.255379974050634,0,terminal,0,0,0.0,0.8,0.5586942901304697,0.845,1.0,0.47209667516024684,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
43,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.8881761424168,55.50544395551773,0.06070374245659355,0.5506666364067052,0.47703721326516685,0,0.06070374245659355,0.0,0.890537281036377,0.6233760967254638,,,0,0.155,17.463257149369667,0,terminal,0,0,0.0,0.8,0.6465703827389927,0.845,1.0,0.5463519734144489,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
44,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.50101448538558,60.54908852008042,0.05764726117488054,0.5455602679141336,0.47250416930333494,0,0.05764726117488054,0.0,0.3615821170806885,0.2531074819564819,,,0,0.155,15.40655251709364,0,terminal,0,0,0.0,0.8,0.5863179009476266,0.845,1.0,0.4954386263007445,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
45,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.431909465418656,62.63313296991611,0.05807045578606429,0.5465815416126479,0.4727389865058483,0,0.05807045578606429,0.0,0.3889826393127441,0.2722878475189209,,,0,0.155,15.34716813862948,0,terminal,0,0,0.0,0.8,0.5657055265371649,0.845,1.0,0.4780211699239043,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
46,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.83408543467695,60.98000837874351,0.05893734981670602,0.545424098087665,0.47728184102151167,0,0.05893734981670602,0.0,0.9190825843811035,0.6433578090667724,,,0,0.155,15.590927005803584,0,terminal,0,0,0.0,0.8,0.5876366105447772,0.845,1.0,0.4965529359103367,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
47,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.17720576127869,61.48267316134519,0.061113443170583925,0.5469673561209756,0.48312453045800885,0,0.061113443170583925,0.0,1.60085862159729,1.1206010351181028,,,0,0.155,15.549812592149463,0,terminal,0,0,0.0,0.8,0.5884130259974396,0.845,1.0,0.49720900696783643,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
48,Fuzzy-DQL,0,terminal,0,0,0.3,0,1,0,35.64720477362786,66.53016540388079,0.06004137429118901,0.5479886298194899,0.4780191209084555,0,0.06004137429118901,0.0,1.0051148414611817,0.7035803890228272,,,0,0.155,15.573142795589648,0,terminal,0,0,0.0,0.8,0.5358051427833744,0.845,1.0,0.45275534565195136,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
49,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.75236788591834,52.73748233957162,0.05863862801757905,0.5446070791288535,0.47723625115171536,0,0.05863862801757905,0.0,0.9137627601623535,0.6396339321136474,,,0,0.155,14.97093163726481,0,terminal,0,0,0.0,0.8,0.6779308814120525,0.845,1.0,0.5728515947931844,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
50,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.65210203740667,43.29267705518646,0.05714518935478635,0.5406127642191086,0.4768954352789226,0,0.05714518935478635,0.0,0.87399338722229,0.611795371055603,,,0,0.155,0.0,0,terminal,0,0,0.0,0.8,0.8235134545262673,0.845,1.0,0.6958688690746959,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
51,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.10992490194793,44.33083837344491,0.058609245917909294,0.5412709183803734,0.4813015160170664,0,0.058609245917909294,0.0,1.3881333732604981,0.9716933612823486,,,0,0.155,7.301139153741992,0,terminal,0,0,0.0,0.8,0.8145554252269346,0.845,1.0,0.6882993343167597,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
52,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.49469070932087,57.954481866027756,0.05975797500001232,0.5412255284382173,0.48546085730941535,0,0.05975797500001232,0.0,1.8734816455841063,1.3114371519088743,,,0,0.155,11.534144284610592,0,terminal,0,0,0.0,0.8,0.6297130012081712,0.845,1.0,0.5321074860209046,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
53,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.83682608241305,57.04875521437646,0.057700808651483255,0.540930493814202,0.4784826279161163,0,0.057700808651483255,0.0,1.0592008876800536,0.7414406213760375,,,0,0.155,12.956993180979351,0,terminal,0,0,0.0,0.8,0.6281789312973836,0.845,1.0,0.5308111969462891,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
54,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.07368137579139,58.25508686464693,0.05893417593269322,0.5410893586117487,0.48268893006636143,0,0.05893417593269322,0.0,1.5500289630889892,1.0850202741622923,,,0,0.155,13.285802217733648,0,terminal,0,0,0.0,0.8,0.6192365906106528,0.845,1.0,0.5232549190660016,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
55,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.81103542051523,52.94376739059063,0.0575799235368793,0.5411120535828268,0.4778239456531784,0,0.0575799235368793,0.0,0.982340087890625,0.6876380615234374,,,0,0.155,13.613422692375941,0,terminal,0,0,0.0,0.8,0.676397566427804,0.845,1.0,0.5715559436314944,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
56,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.01934146943398,52.4207718891695,0.058266780446081766,0.5412709183803734,0.4800784250462538,0,0.058266780446081766,0.0,1.2454124355316163,0.8717887048721313,,,0,0.155,13.152322106150692,0,terminal,0,0,0.0,0.8,0.6871196316145018,0.845,1.0,0.5806160887142541,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
57,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.512119244005,49.63216809095917,0.0567921476453183,0.5415432580333106,0.47447145476307,0,0.0567921476453183,0.0,0.5911421680450439,0.4137995176315307,,,0,0.155,12.822981083805393,0,terminal,0,0,0.0,0.8,0.7155061044063834,0.845,1.0,0.604602658223394,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
58,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.25498121898361,54.81468351588386,0.05946432561735964,0.5412028334671392,0.4844404782280748,0,0.05946432561735964,0.0,1.7544149017333985,1.228090431213379,,,0,0.155,12.367241588532384,0,terminal,0,0,0.0,0.8,0.6614100254446943,0.845,1.0,0.5588914715007667,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
