task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
643,FedServ,2,edge_2,0,0,0.3,0,0,1,36.383296043864696,30.548582914265083,0.03915644261350471,0.7432340333786287,0.766260977960601,1,0.036094441574182255,0.003062001039322456,1.8323936176300049,1.2826755323410033,,,0,0.155,5.505062214359958,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
644,FedServ,3,edge_3,0,0,0.3,0,0,1,36.38409872939637,43.17631267599417,0.05413225019565598,0.74095318878528,0.772281245539961,0,0.04825630796763124,0.005875942228024737,2.1251008701324463,1.4875706090927123,,,0,0.155,9.639272181345074,3,edge_3,0,0,0.0,0.8,0.8426865675730981,0.845,1.0,0.7120701495992678,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
645,FedServ,1,edge_1,0,0,0.3,0,0,1,36.199407319082255,21.841037853176584,0.03211272544503487,0.7420765898536458,0.7662580220203568,1,0.028711385030623607,0.0034013404144112636,1.8322498989105225,1.2825749292373656,,,0,0.155,3.4372053289177793,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
646,FedServ,0,terminal,0,0,0.3,0,0,1,36.35213532760096,58.22503248905383,0.06024547182711544,0.5420198524259506,0.48620901242154546,0,0.06024547182711544,0.0,1.9607829189300536,1.3725480432510375,,,0,0.155,13.301353976786327,0,terminal,0,0,0.0,0.8,0.6243386010035302,0.845,1.0,0.527566117847983,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
647,FedServ,2,edge_2,0,0,0.3,0,0,1,35.80700836534994,30.38226111078857,0.03670577654373451,0.7435063730315659,0.7554484596369062,1,0.03524162519408197,0.0014641513496525364,1.3066856670379638,0.9146799669265746,,,0,0.155,5.389409066213903,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
648,FedServ,3,edge_3,0,0,0.3,0,0,1,36.27611707689197,43.639033162568666,0.05440879461210122,0.7423829719632001,0.770031042207689,0,0.04834387306994325,0.00606492154215797,2.0156952953338623,1.4109867067337034,,,0,0.155,9.805116542463448,3,edge_3,0,0,0.0,0.8,0.8312768282870155,0.845,1.0,0.7024289199025281,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
649,FedServ,1,edge_1,0,0,0.3,0,0,1,36.56165206596528,26.905025333023406,0.03333155304851932,0.7426212691595201,0.7757910322853152,1,0.02942408194995303,0.003907471098566287,2.295747776031494,1.6070234432220458,,,0,0.155,3.2390139451422653,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
650,FedServ,2,edge_2,0,0,0.3,0,0,1,36.30445983493934,32.234213358450475,0.03851017084469305,0.7434723305749488,0.7633105237610184,1,0.03589076885273203,0.0026194019919610198,1.6889416313171386,1.182259141921997,,,0,0.155,5.437534348781278,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
651,FedServ,3,edge_3,0,0,0.3,0,1,1,35.88113736263122,37.53786463884489,0.048392260597845266,0.7443574344469944,0.7465720664813894,0,0.04620351274236141,0.0021887478554838556,0.875112714767456,0.6125789003372192,,,0,0.155,10.056723502335904,3,edge_3,0,0,0.0,0.8,0.9558651699516426,0.845,1.0,0.807706068609138,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
652,FedServ,1,edge_1,0,0,0.3,0,0,1,37.06337365163336,27.606517325442347,0.03477162131510691,0.7440510523374402,0.7881586784212403,1,0.030451144309220045,0.004320477005886862,2.8970665168762206,2.0279465618133545,,,0,0.155,3.3616223575962976,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
653,FedServ,0,terminal,0,0,0.3,0,0,1,36.89058195862375,61.040007024009284,0.06215297966296971,0.5438127551411202,0.4907804120127773,0,0.06215297966296971,0.0,2.494213752746582,1.7459496269226074,,,0,0.155,13.627599912497534,0,terminal,0,0,0.0,0.8,0.6043672626727143,0.845,1.0,0.5106903369584436,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
654,FedServ,2,edge_2,0,0,0.3,0,0,1,36.27088984516104,31.262351604082355,0.039453633781228445,0.7436085004014172,0.7646129433969311,1,0.0360234172291619,0.003430216552066547,1.7522656726837158,1.2265859708786009,,,0,0.155,5.552384570300383,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
