task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
2343,Round-Robin,1,edge_1,0,0,0.3,0,0,1,36.11294429408266,27.811875799465174,0.03040000169203082,0.7408170189588115,0.7597148148744537,0,0.028096732010795208,0.002303269681235612,1.5141171646118163,1.0598820152282713,,,0,0.155,3.9806907377095557,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2344,Round-Robin,2,edge_2,0,0,0.3,0,0,1,35.76429051967184,31.996400505744244,0.03569440803927697,0.7406127642191086,0.7519123630619051,1,0.0344345405856259,0.001259867453651068,1.1347595691680907,0.7943316984176635,,,0,0.155,5.691489459763364,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2345,Round-Robin,3,edge_3,0,0,0.3,0,0,1,35.48057643311772,43.123485034312466,0.04624357372504258,0.7408851038720458,0.7435562291196841,0,0.0450485638719757,0.0011950098530668775,0.7284817790985108,0.5099372453689575,,,0,0.155,10.700258487650364,3,edge_3,0,0,0.0,0.8,0.8227669077507663,0.845,1.0,0.6952380370493976,1,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2346,Round-Robin,1,edge_1,0,0,0.3,0,0,1,35.76690481697007,26.4830833236513,0.029311349330237144,0.7406127642191086,0.7519556443430244,1,0.027550517887242013,0.0017608314429951321,1.1368639183044433,0.7958047428131103,,,0,0.155,3.9798131367831306,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2347,Round-Robin,2,edge_2,0,0,0.3,0,0,1,35.479141766132486,25.21101116072289,0.03505666306960179,0.7405787217624914,0.7471231710390146,1,0.034029412898692414,0.001027250170909379,0.9019075870513916,0.6313353109359741,,,0,0.155,5.6402727703007125,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2348,Round-Robin,3,edge_3,0,0,0.3,0,0,1,35.45769441760059,44.84713731052321,0.04701921122046175,0.7408170189588115,0.7474824168330885,0,0.045468731346729206,0.001550479873732542,0.9193742275238037,0.6435619592666626,,,0,0.155,10.8110228904611,3,edge_3,0,0,0.0,0.8,0.7906345096698196,0.845,1.0,0.6680861606709976,1,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2349,Round-Robin,1,edge_1,0,0,0.3,0,0,1,35.70155403729719,27.826618084394546,0.028579535681506067,0.7407489340455772,0.7526510042766928,1,0.027616165941569626,0.0009633697399364411,1.1706725311279298,0.8194707717895509,,,0,0.155,3.8815421299380684,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2350,Round-Robin,2,edge_2,0,0,0.3,0,0,1,36.41089676273436,33.52792634428407,0.0375641856299263,0.7403744670227885,0.7625504809111909,1,0.035278851944551395,0.0022853336853749023,1.651988115310669,1.1563916807174683,,,0,0.155,5.231743442773015,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2351,Round-Robin,3,edge_3,0,0,0.3,0,0,1,36.630895258616924,44.07259984404376,0.05068299393426558,0.7402723396529372,0.768356738220722,0,0.04765949555369038,0.003023498380575196,1.9342901229858398,1.3540030860900878,,,0,0.155,11.13034737599,3,edge_3,0,0,0.0,0.8,0.8311489539586907,0.845,1.0,0.7023208660950936,1,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2352,Round-Robin,1,edge_1,0,0,0.3,0,0,1,36.37262337546272,22.994617136184836,0.02952936988257894,0.7403404245661714,0.7601190709883499,1,0.028056164879430943,0.001473205003147997,1.5337722206115723,1.0736405544281005,,,0,0.155,4.109244877859697,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2353,Round-Robin,2,edge_2,0,0,0.3,0,0,1,36.474432975441886,30.550474500757893,0.03839717901263834,0.7403063821095542,0.7644488987168906,1,0.035424996724974456,0.0029721822876638817,1.7442897701263427,1.2210028390884398,,,0,0.155,5.580125315685659,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2354,Round-Robin,3,edge_3,0,0,0.3,0,0,1,36.6581025231353,44.04177258936775,0.05128862225219665,0.7403063821095542,0.7702209948114997,0,0.04787467297714474,0.003413949275051909,2.0249308490753175,1.4174515943527222,,,0,0.155,11.239868709767638,3,edge_3,0,0,0.0,0.8,0.8323484811777315,0.845,1.0,0.7033344665951832,1,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2355,Round-Robin,1,edge_1,0,0,0.3,0,0,1,35.96257063570975,22.180850683149004,0.028400843337829048,0.7402042547397029,0.7504395025777088,1,0.027391569593305156,0.0010092737445238933,1.0631486415863036,0.7442040491104125,,,0,0.155,4.028555976123661,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2356,Round-Robin,2,edge_2,0,0,0.3,0,1,1,36.40660463317685,27.296338512033245,0.0378077076313544,0.7403063821095542,0.7618874729294841,1,0.03521154457602391,0.002596163055330491,1.6197524642944336,1.1338267250061034,,,0,0.155,5.8224074694567225,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
