task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean,fuzzy_pred_action,task_count,avg_delay_ms,avg_queue_wait_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_rule_consistency,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
10,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.4750542876774,24.921570547694976,0.02883649308364359,0.7499744397888233,0.7417354305387689,1,0.028195407672667892,0.0006410854109756975,0.6399539947509766,0.44796779632568356,,,0,0.155,3.1763475106654395,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
11,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,36.43278484372693,24.600469036130228,0.031973027681049634,0.7435744579448001,0.7669391634303117,1,0.028968992437534136,0.0030040352435155016,1.865367202758789,1.3057570419311524,,,0,0.155,4.354251255650138,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
12,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.65762109945663,22.323449206644398,0.028868373240893485,0.747795722565326,0.7429071687822297,1,0.027964871948903177,0.000903501291990309,0.6969242668151856,0.4878469867706299,,,0,0.155,5.178356994094655,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
13,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.84989011391578,26.65903333554187,0.030692663044345203,0.7489531660903089,0.7601327300998818,1,0.029277213869452555,0.0014154491748926464,1.5344363307952882,1.0741054315567016,,,0,0.155,5.518970132639038,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
14,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.35340036530016,25.013470274660648,0.028532808288951068,0.7471148734329831,0.7407244418963729,1,0.02772290319609747,0.0008099050928535949,0.5907994174957275,0.4135595922470092,,,0,0.155,6.27832356294616,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
15,FedDQL-Federated,1,edge_1,0,0,0.3,0,1,1,35.96725785322477,29.777701876527665,0.031230572830734313,0.7523574117520234,0.7587433177506383,0,0.029666854514912536,0.001563718315821778,1.466882677078247,1.0268178739547729,,,0,0.155,6.691517099105896,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
16,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.36346110252257,27.03592550757037,0.0299376965593084,0.7474893404557718,0.7482737069331219,0,0.028279237026775792,0.001658459532532608,0.9578469944000244,0.670492896080017,,,0,0.155,7.51339154503496,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
17,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,36.50324041042136,38.664281408300106,0.03152000749380478,0.7509957134873376,0.7666512881955705,0,0.030001145290410862,0.001518862203393917,1.851370620727539,1.2959594345092773,,,0,0.155,7.898400462517822,1,edge_1,0,0,0.0,0.8,0.9441075607986127,0.845,1.0,0.7977708888748277,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
18,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.59852967913749,32.78405960248115,0.029650222716795533,0.7484084867844346,0.7492503352710573,1,0.028474557979198734,0.0011756647375967982,1.0053309631347656,0.7037316741943358,,,0,0.155,9.376075804864152,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
19,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.525930956250924,33.33410967681669,0.030217901659131713,0.7477616801087089,0.7504324877607907,1,0.028461737199453142,0.0017561644596785695,1.0628075790405274,0.7439653053283691,,,0,0.155,10.029852197619116,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
20,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.79995407435488,37.98154040668547,0.03132637836817717,0.7441872221639088,0.7606808804825888,0,0.028638581838726328,0.0026877965294508444,1.5610875701904297,1.0927612991333007,,,0,0.155,10.6223483181469,1,edge_1,0,0,0.0,0.8,0.9425619311652091,0.845,1.0,0.7964648318346017,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
21,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.78412816110282,25.98021564558204,0.03639479831472225,0.7430978635521601,0.7491799695744898,0,0.03464691080190252,0.0017478875128197255,1.001909761428833,0.7013368330001831,,,0,0.155,5.369613074139239,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
22,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,36.11322654729131,32.33352915414015,0.030876824536640077,0.7427233965293716,0.7651142910655258,1,0.028726767246029353,0.002150057290610725,1.7766413497924805,1.2436489448547363,,,0,0.155,10.715150885147699,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
23,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.60560139966399,33.97938666251285,0.036363982807307196,0.7454467930587431,0.7501277358137368,1,0.035141847588630495,0.0012221352186767027,1.0479904460906981,0.7335933122634887,,,0,0.155,5.424269540514932,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
24,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.824141232356496,28.12976552274459,0.030254126127725434,0.745889344994766,0.7521971750638132,1,0.028314135545179395,0.0019399905825460367,1.1486072158813476,0.8040250511169433,,,0,0.155,10.322439417943933,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
25,FedDQL-Federated,1,edge_1,0,0,0.3,0,1,1,35.85263478482273,33.35546378981769,0.03010788283083636,0.7429957361823087,0.7641426589923481,0,0.028700573225316942,0.0014073096055194187,1.7294003009796142,1.2105802106857297,,,0,0.155,10.346844213119137,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
26,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.740934565032184,34.9811374872922,0.029740450133587438,0.744255307077143,0.755085593159291,0,0.028275208046547998,0.0014652420870394417,1.2890429878234864,0.9023300914764404,,,0,0.155,10.76121342060172,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
27,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.61510366137596,35.482316695873635,0.03881916601152729,0.7440510523374402,0.758552996585997,1,0.03559679023358811,0.0032223757779391788,1.4576292037963867,1.0203404426574707,,,0,0.155,5.395357045558603,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
28,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,36.32995011382289,31.7772548105642,0.030354383973565782,0.7450723260359545,0.7633115698147226,1,0.028939350842741726,0.0014150331308240543,1.6889924907684326,1.1822947435379028,,,0,0.155,10.60279679715072,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
29,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.93032058915645,28.888634089799282,0.029365396443033303,0.744017009880823,0.7530755926303923,1,0.028107449241809412,0.0012579472012238901,1.191316146850586,0.8339213027954101,,,0,0.155,10.841402806278882,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
30,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.764571530731956,32.09882598266764,0.035280449454934845,0.7418382926573258,0.7470863955724951,1,0.034249397289109376,0.001031052165825472,0.9001195526123047,0.6300836868286133,,,0,0.155,5.7093383192407945,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
31,FedDQL-Federated,1,edge_1,0,0,0.3,0,1,1,35.803635009043944,30.182523934902058,0.028534230721496537,0.7415319105477715,0.7477183043952291,1,0.02739824095394957,0.0011359897675469657,0.930843152999878,0.6515902070999146,,,0,0.155,10.311555479300713,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
32,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.784438726335885,26.156911047003454,0.029143436754133608,0.7417021228308572,0.7484703575759147,1,0.02747249123943242,0.0016709455147011867,0.9674082088470459,0.6771857461929321,,,0,0.155,10.455713313609522,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
33,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,36.114546432794015,28.144637288702206,0.03030126353506986,0.7422808445933486,0.7567491288540572,0,0.02810639490766154,0.0021948686274083184,1.369924602508545,0.9589472217559815,,,0,0.155,10.354058277434815,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
34,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,36.22062162938964,33.877918390059904,0.0377112906128983,0.742587226702903,0.7613500712242451,0,0.03557066066399282,0.002140629948905477,1.5936238288879394,1.1155366802215576,,,0,0.155,5.549938166319162,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
35,FedDQL-Federated,1,edge_1,0,0,0.3,0,0,1,35.8955407117668,28.611103527018486,0.030185862697250872,0.7434382881183316,0.7550855674639909,1,0.028159461981029706,0.0020264007162211655,1.2890417385101318,0.9023292169570922,,,0,0.155,9.915753265300586,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
36,FedDQL-Federated,2,edge_2,0,0,0.3,0,1,1,35.488166417818974,33.508465392171175,0.03484106147834849,0.7418723351139429,0.7395329816274484,1,0.033625974478714765,0.0012150869996337247,0.5328702545166015,0.37300917816162105,,,0,0.155,5.924470510568087,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
37,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.90743201935144,30.500046506518224,0.036382978243366317,0.7442212646205258,0.7520163705752679,1,0.03508221315782379,0.0013007650855425244,1.1398164463043212,0.7978715124130248,,,0,0.155,6.040543011734312,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
38,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,36.25972494333801,28.711168655018184,0.038354353489226486,0.7420425473970287,0.7644230602292748,1,0.03573028945399673,0.0026240640352297555,1.743033494949341,1.2201234464645385,,,0,0.155,6.261678835939394,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
39,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.70307171333968,33.175386990743405,0.03592069558432153,0.7412595708948343,0.7488283772530365,1,0.03429208045037996,0.0016286151339415733,0.9848152351379394,0.6893706645965576,,,0,0.155,6.1700468826671395,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
40,FedDQL-Federated,2,edge_2,0,0,0.3,0,0,1,35.995703522791324,34.46485984380537,0.03867569094521427,0.7551829356512464,0.7517919950959987,1,0.03700464444624144,0.0016710464989728245,1.128907241821289,0.7902350692749023,,,0,0.155,6.122669606875494,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
41,FedDQL-Federated,1,edge_1,0,0,0.3,0,1,1,36.557872119620555,33.77050745112285,0.032316351395435566,0.745889344994766,0.7700201423006305,0,0.02950233336096722,0.0028140180344683454,2.015165338516235,1.4106157369613646,,,0,0.155,10.128953884850894,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,134978.1021,0.160755,0.302488,0.169404,0.329532,0.0,0.005212,0,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
