task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,fuzzy_pred_action,task_count,avg_delay_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
25,DT-FedDQL,1,edge,1,0,0.3,0,1,1,35.85263478482273,23.009980127636066,0.0301200869638435,0.7429957361823087,0.7641426589923481,0,0.028700573225316942,0.0014195137385265568,1.7294003009796142,1.2105802106857297,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
26,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.740934565032184,24.274675656220126,0.030130957680726832,0.744255307077143,0.755085593159291,0,0.028275208046547998,0.0018557496341788347,1.2890429878234864,0.9023300914764404,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
27,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.61510366137596,26.12566732457055,0.03399409441243336,0.7440510523374402,0.758552996585997,1,0.02847743218687049,0.00551666222556287,1.4576292037963867,1.0203404426574707,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
28,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.32995011382289,21.178062933974036,0.030388620404591664,0.7450723260359545,0.7633115698147226,1,0.028939350842741726,0.0014492695618499364,1.6889924907684326,1.1822947435379028,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
29,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.93032058915645,18.080583238456235,0.029604928134278327,0.744017009880823,0.7530755926303923,1,0.028107449241809412,0.0014974788924689145,1.191316146850586,0.8339213027954101,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
30,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.764571530731956,22.44310457726138,0.02828076182115971,0.7418382926573258,0.7470863955724951,1,0.0273995178312875,0.0008812439898722128,0.9001195526123047,0.6300836868286133,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
31,DT-FedDQL,1,edge,1,0,0.3,0,1,1,35.803635009043944,19.916469440103146,0.02893907264395173,0.7415319105477715,0.7477183043952291,1,0.02739824095394957,0.0015408316900021588,0.930843152999878,0.6515902070999146,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
32,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.784438726335885,16.02645752317502,0.0314464346884016,0.7417021228308572,0.7484703575759147,1,0.02747249123943242,0.00397394344896918,0.9674082088470459,0.6771857461929321,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
33,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.114546432794015,18.013600035967485,0.03250813827059112,0.7422808445933486,0.7567491288540572,0,0.02810639490766154,0.004401743362929576,1.369924602508545,0.9589472217559815,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
34,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.22062162938964,24.062369976156486,0.030473679938263113,0.742587226702903,0.7613500712242451,0,0.02845652853119426,0.0020171514070688517,1.5936238288879394,1.1155366802215576,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
