task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,task_count,avg_delay_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
20,Random,1,edge,0,0,0.3,0,0,1,35.79995407435488,23.63083620231522,0.02996372837217596,0.7441872221639088,0.7606808804825888,1,0.028638581838726328,0.0013251465334496312,1.5610875701904297,1.0927612991333007,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
21,Random,1,edge,0,0,0.3,0,0,1,35.78412816110282,18.596160970943373,0.02860407444128934,0.7430978635521601,0.7491799695744898,1,0.027717528641522014,0.0008865457997673248,1.001909761428833,0.7013368330001831,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
22,Random,0,terminal,0,0,0.3,0,0,1,36.11322654729131,47.023578677252466,0.0597321264811647,0.5418155976862478,0.4846309546106357,0,0.0597321264811647,0.0,1.7766413497924805,1.2436489448547363,,,0,0.155,0,terminal,0,0,0.0,0.8,0.767981246071367,0.845,1.0,0.648944152930305,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
23,Random,2,cloud,0,0,0.3,0,0,1,35.60560139966399,82.60267303992923,0.04346594647648012,0.4645389942156193,0.653546226356228,0,0.04168227683593448,0.0017836696405456416,1.0479904460906981,0.7335933122634887,,,0,0.155,2,cloud,0,0,0.0,0.8,0.43104660042239346,0.845,1.0,0.36423437735692243,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
24,Random,2,cloud,0,0,0.3,0,0,1,35.824141232356496,120.0,0.04688927108695562,0.4649077874956383,0.6569952917730221,0,0.042039336590882194,0.004849934496073423,1.1486072158813476,0.8040250511169433,,,0,0.155,2,cloud,0,0,0.0,0.8,0.29853451026963745,0.845,1.0,0.25226166117784365,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
25,Random,1,edge,0,0,0.3,0,1,0,35.85263478482273,32.831933028391404,0.035048394720794095,0.7429957361823087,0.7641426589923481,1,0.028700573225316942,0.006347821495477155,1.7294003009796142,1.2105802106857297,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
26,Random,1,edge,0,0,0.3,0,0,1,35.740934565032184,16.604471105272207,0.031157348255455748,0.744255307077143,0.755085593159291,1,0.028275208046547998,0.002882140208907749,1.2890429878234864,0.9023300914764404,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
27,Random,2,cloud,0,0,0.3,0,0,1,35.61510366137596,120.0,0.044668529269783944,0.46337587694786686,0.6675883276433282,0,0.04254975913999695,0.0021187701297869944,1.4576292037963867,1.0203404426574707,,,0,0.155,2,cloud,0,0,0.0,0.8,0.29679253051146637,0.845,1.0,0.25078968828218906,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
28,Random,1,edge,0,0,0.3,0,0,1,36.32995011382289,20.304576168647714,0.03330682303240336,0.7450723260359545,0.7633115698147226,1,0.028939350842741726,0.004367472189661634,1.6889924907684326,1.1822947435379028,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
29,Random,1,edge,0,0,0.3,0,0,1,35.93032058915645,21.568090954585287,0.02949524637013251,0.744017009880823,0.7530755926303923,0,0.028107449241809412,0.001387797128323099,1.191316146850586,0.8339213027954101,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
30,Random,1,edge,0,0,0.3,0,0,1,35.764571530731956,23.21966703121209,0.03190284654630248,0.7418382926573258,0.7470863955724951,1,0.0273995178312875,0.004503328715014982,0.9001195526123047,0.6300836868286133,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
31,Random,0,terminal,0,0,0.3,0,1,0,35.803635009043944,47.24796192588413,0.05742458130725675,0.5410212736985144,0.47738262683134547,0,0.05742458130725675,0.0,0.930843152999878,0.6515902070999146,,,0,0.155,0,terminal,0,0,0.0,0.8,0.7577815751123316,0.845,1.0,0.6403254309699201,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
