algorithm,epoch,tier,node,workload,dt_count,compute_time_ms,timeliness,dtt_score,cpu_utilization,bandwidth_utilization,availability,node_status_code,node_status
No-DT-FedDQL,R5,Terminal,terminal-1,stringent,25,17.1635,0.4445,0.2962,48.93,11.2903,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-1,stringent,50,20.6436,0.4445,0.2962,54.93,15.7903,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-1,stringent,75,24.1238,0.4045,0.2896,60.93,20.2903,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-2,heavy,25,99.944,0.3234,0.2313,59.91,13.7595,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-2,heavy,50,121.5284,0.3234,0.2313,65.91,18.2595,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-2,heavy,75,143.1127,0.2834,0.2261,71.91,22.7595,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-2,stringent,25,19.7973,0.426,0.2838,54.69,13.7595,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-2,stringent,50,23.7494,0.426,0.2838,60.69,18.2595,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-2,stringent,75,27.7014,0.386,0.2775,66.69,22.7595,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-3,heavy,25,93.1101,0.3304,0.2363,57.03,12.5249,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-3,heavy,50,113.2447,0.3304,0.2363,63.03,17.0249,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-3,heavy,75,133.3794,0.2904,0.231,69.03,21.5249,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-3,stringent,25,18.3463,0.4352,0.29,51.81,12.5249,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-3,stringent,50,22.033,0.4352,0.29,57.81,17.0249,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-3,stringent,75,25.7196,0.3952,0.2836,63.81,21.5249,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-4,heavy,25,106.0458,0.3164,0.2262,62.79,14.9941,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-4,heavy,50,128.9188,0.3164,0.2262,68.79,19.4941,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-4,heavy,75,151.7918,0.2764,0.2212,74.79,23.9941,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-4,stringent,25,21.1142,0.4167,0.2777,57.57,14.9941,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-4,stringent,50,25.3022,0.4167,0.2777,63.57,19.4941,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-4,stringent,75,29.4902,0.3767,0.2715,69.57,23.9941,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-5,heavy,25,81.7609,0.3445,0.2464,51.27,10.673,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-5,heavy,50,99.4793,0.3445,0.2464,57.27,15.173,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-5,heavy,75,117.1978,0.3045,0.2409,63.27,19.673,0.88,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-5,stringent,25,15.9688,0.4537,0.3023,46.05,10.673,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-5,stringent,50,19.213,0.4537,0.3023,52.05,15.173,0.9,0,overloaded
No-DT-FedDQL,R5,Terminal,terminal-5,stringent,75,22.4572,0.4137,0.2956,58.05,19.673,0.88,0,overloaded
No-DT-FedDQL,R5,Cloud,cloud-1,heavy,25,89.8254,0.3375,0.2413,68.55,44.0073,0.9,0,overloaded
No-DT-FedDQL,R5,Cloud,cloud-1,heavy,50,107.866,0.3375,0.2413,74.55,48.5073,0.9,0,overloaded
No-DT-FedDQL,R5,Cloud,cloud-1,heavy,75,125.9067,0.2975,0.236,80.55,53.0073,0.88,0,overloaded
No-DT-FedDQL,R5,Cloud,cloud-1,stringent,25,22.8371,0.4445,0.2962,63.33,44.0073,0.9,0,overloaded
No-DT-FedDQL,R5,Cloud,cloud-1,stringent,50,26.1403,0.4445,0.2962,69.33,48.5073,0.9,0,overloaded
No-DT-FedDQL,R5,Cloud,cloud-1,stringent,75,29.4435,0.4045,0.2896,75.33,53.0073,0.88,0,overloaded
No-DT-FedDQL,R5,Edge,edge-1,heavy,25,64.6824,0.3726,0.2665,61.35,27.9575,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-1,heavy,50,77.8908,0.3726,0.2665,67.35,32.4575,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-1,heavy,75,91.0991,0.3326,0.2605,73.35,36.9575,0.88,0,overloaded
No-DT-FedDQL,R5,Edge,edge-1,stringent,25,15.6374,0.4908,0.327,56.13,27.9575,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-1,stringent,50,18.0559,0.4908,0.327,62.13,32.4575,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-1,stringent,75,20.4743,0.4508,0.3198,68.13,36.9575,0.88,0,overloaded
No-DT-FedDQL,R5,Edge,edge-2,heavy,25,73.9574,0.3586,0.2564,65.67,30.4267,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-2,heavy,50,89.0986,0.3586,0.2564,71.67,34.9267,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-2,heavy,75,104.2399,0.3186,0.2507,77.67,39.4267,0.88,0,overloaded
No-DT-FedDQL,R5,Edge,edge-2,stringent,25,17.735,0.4723,0.3147,60.45,30.4267,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-2,stringent,50,20.5074,0.4723,0.3147,66.45,34.9267,0.9,0,overloaded
No-DT-FedDQL,R5,Edge,edge-2,stringent,75,23.2797,0.4323,0.3077,72.45,39.4267,0.88,0,overloaded
No-DT-FedDQL,R5,Edge,edge-3,heavy,25,84.6966,0.3154,0.2243,74.31,32.8959,0.873,0,overloaded
No-DT-FedDQL,R5,Edge,edge-3,heavy,50,102.093,0.3154,0.2243,80.31,37.3959,0.873,0,overloaded
No-DT-FedDQL,R5,Edge,edge-3,heavy,75,119.4893,0.2754,0.2192,86.31,41.8959,0.853,0,overloaded
No-DT-FedDQL,R5,Edge,edge-3,stringent,25,20.1008,0.418,0.2753,69.09,32.8959,0.873,0,overloaded
No-DT-FedDQL,R5,Edge,edge-3,stringent,50,23.286,0.418,0.2753,75.09,37.3959,0.873,0,overloaded
No-DT-FedDQL,R5,Edge,edge-3,stringent,75,26.4713,0.378,0.269,81.09,41.8959,0.853,0,overloaded
No-DT-FedDQL,R5,On-premises,on-prem-1,heavy,25,112.0278,0.2753,0.1985,78.63,23.0191,0.846,0,overloaded
No-DT-FedDQL,R5,On-premises,on-prem-1,heavy,50,135.8672,0.2753,0.1985,84.63,27.5191,0.846,0,overloaded
No-DT-FedDQL,R5,On-premises,on-prem-1,heavy,75,159.7066,0.2353,0.1938,90.63,32.0191,0.826,0,overloaded
No-DT-FedDQL,R5,On-premises,on-prem-1,stringent,25,23.5075,0.3689,0.2436,73.41,23.0191,0.846,0,overloaded
No-DT-FedDQL,R5,On-premises,on-prem-1,stringent,50,27.8725,0.3689,0.2436,79.41,27.5191,0.846,0,overloaded
No-DT-FedDQL,R5,On-premises,on-prem-1,stringent,75,32.2375,0.3289,0.2378,85.41,32.0191,0.826,0,overloaded
No-DT-FedDQL,R5,Continuum,continuum-1,heavy,25,69.4421,0.3656,0.2614,64.23,29.8094,0.9,0,overloaded
No-DT-FedDQL,R5,Continuum,continuum-1,heavy,50,83.6169,0.3656,0.2614,70.23,34.3094,0.9,0,overloaded
No-DT-FedDQL,R5,Continuum,continuum-1,heavy,75,97.7917,0.3256,0.2556,76.23,38.8094,0.88,0,overloaded
No-DT-FedDQL,R5,Continuum,continuum-1,stringent,25,16.8085,0.4815,0.3209,59.01,29.8094,0.9,0,overloaded
No-DT-FedDQL,R5,Continuum,continuum-1,stringent,50,19.4038,0.4815,0.3209,65.01,34.3094,0.9,0,overloaded
No-DT-FedDQL,R5,Continuum,continuum-1,stringent,75,21.9992,0.4415,0.3137,71.01,38.8094,0.88,0,overloaded
