algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.005788712011577424,0.06842789086184495,0.06842789086184495,0.9753086419753086,0.8975
DT-FedDQL,0.00723589001447178,0.06842789086184495,0.06842789086184495,0.9693251533742331,0.8975
DT-FedDQL,0.00723589001447178,0.06886097877869207,0.06886097877869207,0.9695121951219512,0.8975
DT-FedDQL,0.00723589001447178,0.0692940666955392,0.0692940666955392,0.9696969696969697,0.8975
DT-FedDQL,0.00723589001447178,0.06972715461238631,0.06972715461238631,0.9698795180722891,0.8975
DT-FedDQL,0.00723589001447178,0.07016024252923343,0.07016024252923343,0.9700598802395209,0.8975
DT-FedDQL,0.00723589001447178,0.07059333044608056,0.07059333044608056,0.9702380952380952,0.8975
DT-FedDQL,0.00723589001447178,0.07102641836292767,0.07102641836292767,0.9704142011834319,0.8975
DT-FedDQL,0.00723589001447178,0.07145950627977479,0.07145950627977479,0.9705882352941176,0.8975
DT-FedDQL,0.00723589001447178,0.07189259419662192,0.07189259419662192,0.9707602339181286,0.8975
DT-FedDQL,0.00723589001447178,0.07232568211346903,0.07232568211346903,0.9709302325581395,0.8975
DT-FedDQL,0.00723589001447178,0.07275877003031615,0.07275877003031615,0.9710982658959537,0.8975
DT-FedDQL,0.00723589001447178,0.07319185794716328,0.07319185794716328,0.9712643678160919,0.8975
DT-FedDQL,0.008683068017366137,0.07319185794716328,0.07319185794716328,0.9657142857142857,0.8975
DT-FedDQL,0.008683068017366137,0.07362494586401039,0.07362494586401039,0.9659090909090909,0.8975
DT-FedDQL,0.008683068017366137,0.07405803378085751,0.07405803378085751,0.9661016949152542,0.8975
DT-FedDQL,0.010130246020260492,0.07405803378085751,0.07405803378085751,0.9606741573033708,0.8975
DT-FedDQL,0.010130246020260492,0.07449112169770464,0.07449112169770464,0.9608938547486033,0.8975
DT-FedDQL,0.010130246020260492,0.07492420961455175,0.07492420961455175,0.9611111111111111,0.8975
DT-FedDQL,0.010130246020260492,0.07535729753139887,0.07535729753139887,0.9613259668508287,0.8975
DT-FedDQL,0.010130246020260492,0.075790385448246,0.075790385448246,0.9615384615384616,0.8975
DT-FedDQL,0.010130246020260492,0.07622347336509311,0.07622347336509311,0.9617486338797814,0.8975
DT-FedDQL,0.010130246020260492,0.07665656128194023,0.07665656128194023,0.9619565217391305,0.8975
DT-FedDQL,0.010130246020260492,0.07708964919878736,0.07708964919878736,0.9621621621621622,0.8975
DT-FedDQL,0.010130246020260492,0.07752273711563447,0.07752273711563447,0.9623655913978495,0.8975
DT-FedDQL,0.010130246020260492,0.0779558250324816,0.0779558250324816,0.9625668449197861,0.8975
DT-FedDQL,0.010130246020260492,0.07838891294932872,0.07838891294932872,0.9627659574468085,0.8975
DT-FedDQL,0.010130246020260492,0.07882200086617583,0.07882200086617583,0.9629629629629629,0.8975
DT-FedDQL,0.010130246020260492,0.07925508878302295,0.07925508878302295,0.9631578947368421,0.8975
DT-FedDQL,0.010130246020260492,0.07968817669987008,0.07968817669987008,0.9633507853403142,0.8975
